"filename", "language", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/.prettierrc", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/api/create-checkout-session/route.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 4, 9, 86
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/api/verify-payment/route.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 2, 11, 48
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/auth/signin/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 3, 10, 111
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/auth/signup/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 134, 0, 0, 0, 2, 12, 148
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/checkout/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 297, 0, 0, 0, 4, 35, 336
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/checkout/success/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/checkout/success/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 86, 0, 0, 0, 1, 11, 98
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/dashboard/create-deal/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1060, 0, 0, 0, 24, 88, 1172
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/dashboard/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 207, 0, 0, 0, 0, 16, 223
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/globals.css", "PostCSS", 0, 0, 0, 0, 0, 90, 0, 0, 0, 5, 95
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/kundtjanst/faq/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 452, 0, 0, 0, 20, 26, 498
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/kundtjanst/kontakt/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 418, 0, 0, 0, 7, 29, 454
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/kundtjanst/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 91, 0, 0, 0, 5, 8, 104
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 0, 4, 37
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/marketplace/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/marketplace/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 493, 0, 0, 0, 19, 61, 573
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/om-oss/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 280, 0, 0, 0, 6, 9, 295
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 411, 0, 0, 0, 0, 17, 428
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/partners/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 277, 0, 0, 0, 8, 21, 306
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/policys/anvandarvillkor/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 519, 0, 0, 0, 4, 34, 557
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/policys/frakt/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 523, 0, 0, 0, 4, 47, 574
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/policys/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 97, 0, 0, 0, 6, 9, 112
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/policys/returer/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 599, 0, 0, 0, 4, 25, 628
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/policys/sekretesspolicy/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 666, 0, 0, 0, 4, 35, 705
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/product/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 695, 0, 0, 0, 21, 54, 770
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/app/varukorg/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 475, 0, 0, 0, 28, 40, 543
